data_hora,suporte_vida,energia,comunicacao,habitat,laboratorio,armazenamento,geracao_solar_kwh,geracao_eolica_kwh,consumo_kwh,reserva_energia_pct,temperatura_interna_c,temperatura_externa_c,radiacao_uv,qualidade_comunicacao_pct,velocidade_vento_kmh,evento,severidade
2026-06-01 00:00,1,1,1,1,1,1,30.5,12.0,35.0,82,22.1,-45.3,3.2,95,18.4,Sistema inicializado com sucesso,normal
2026-06-01 01:00,1,1,1,1,1,1,28.3,11.5,34.2,80,22.0,-46.1,3.1,94,17.9,Leitura de sensores nominal,normal
2026-06-01 02:00,1,1,1,1,1,1,25.1,10.8,33.8,78,21.8,-47.0,3.3,93,16.5,Rotina de verificacao concluida,normal
2026-06-01 03:00,1,1,1,1,1,1,22.0,10.2,32.5,76,21.5,-48.2,3.5,92,15.8,Ciclo de manutencao preventiva,normal
2026-06-01 04:00,1,1,1,1,0,1,18.5,9.8,31.0,73,21.3,-49.5,3.8,90,14.2,Laboratorio desligado para economia,alerta
2026-06-01 05:00,1,1,1,1,0,1,15.2,9.5,28.5,70,21.0,-50.1,4.0,88,13.5,Modo economia ativado,alerta
2026-06-01 06:00,1,1,1,1,0,1,20.8,10.0,29.0,68,21.2,-49.8,4.2,87,14.8,Geracao solar em recuperacao,alerta
2026-06-01 07:00,1,1,1,1,1,1,32.0,11.2,36.5,66,22.3,-48.0,4.5,89,16.0,Laboratorio reativado,normal
2026-06-01 08:00,1,1,1,1,1,1,38.5,12.5,40.2,64,22.8,-46.5,5.0,91,17.5,Pico de geracao solar matinal,normal
2026-06-01 09:00,1,1,1,1,1,1,42.0,13.0,42.0,63,23.2,-45.0,5.5,92,18.2,Consumo elevado - experimentos,normal
2026-06-01 10:00,1,1,1,1,1,1,45.0,13.5,44.8,61,23.5,-44.2,6.0,93,19.0,Alerta de consumo acima da media,alerta
2026-06-01 11:00,1,1,1,1,1,1,46.2,14.0,43.5,60,23.8,-43.8,6.5,94,19.5,Geracao maxima do periodo,normal
2026-06-01 12:00,1,1,0,1,1,1,44.0,13.8,41.0,59,24.0,-43.5,7.0,45,20.0,Falha parcial no modulo de comunicacao,critico
2026-06-01 13:00,1,1,0,1,1,1,43.5,13.2,40.5,57,24.2,-44.0,7.2,38,19.8,Comunicacao comprometida - tentativa de reconexao,critico
2026-06-01 14:00,1,1,1,1,1,1,42.8,12.8,39.0,56,24.0,-44.5,6.8,85,19.2,Comunicacao restabelecida,normal
